Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,book,368,0,35,143.04131889130306,7.663035000007312,21381.816791000005,9674.75,0.6168098061443773,0.0,21,35,100,130,200,260,390,1400,21000,21000,21000
POST,create_user,184,0,400.0,517.1042425706546,195.51537199998847,3170.1187699999878,319.0,0.30840490307218865,0.0,320,400,540,610,710,1000,2300,3000,3200,3200,3200
GET,home,92,0,13,18.519279391304142,7.00976000001674,194.95496199999974,18128.0,0.15420245153609433,0.0,10,13,18,21,29,36,120,190,190,190,190
POST,login,92,0,420.0,501.956217021738,206.29350199999408,2842.241379000029,412.0,0.15420245153609433,0.0,330,420,580,600,730,1100,2000,2800,2800,2800,2800
GET,navigate_to_client_login,92,0,12,18.738298293482263,7.370864000051824,149.39629500003093,12241.0,0.15420245153609433,0.0,9,12,18,20,29,45,120,150,150,150,150
GET,pick_up_ticket,91,0,46,269.06564100000355,17.66634599999861,18624.810224000004,65.0,0.15252633793244114,0.0,35,46,68,79,120,170,610,19000,19000,19000,19000
PUT,pick_up_ticket,91,1,160.0,365.0907761648364,45.9027219999939,11682.320201000002,389.13186813186815,0.15252633793244114,0.0016761136036531992,100,160,270,290,370,670,2400,12000,12000,12000,12000
POST,set_new_contact,274,0,80,161.4308182992687,20.196564999992006,2619.7248460000537,287.507299270073,0.4592551274009766,0.0,50,81,180,200,370,600,820,1300,2600,2600,2600
,Aggregated,1284,1,75,233.12642778348976,7.00976000001674,21381.816791000005,5117.569314641744,2.1521298670907076,0.0016761136036531992,28,75,280,330,480,630,1100,1800,19000,21000,21000
