Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,book,2924,0,36,189.2120593300284,5.11456399999588,33263.51633500001,9674.75,1.6256387326907757,0.0,17,36,100,130,270,530,950,1600,33000,33000,33000
GET,cancel_last_order_with_no_refund,179,0,190.0,439.34437074302167,50.505007999845475,14002.019525000009,52.0,0.09951755579741754,0.0,100,190,430,540,900,1400,2300,2700,14000,14000,14000
POST,create_user,1464,0,580.0,930.7093253545083,127.00057699998979,32138.282931999995,319.0,0.8139312943431244,0.0,330,580,980,1100,1600,2200,3900,5400,32000,32000,32000
POST,get_voucher_of_last_order,183,0,130.0,250.3854227704928,38.95257099998162,6504.5189949998985,279.8415300546448,0.10174141179289055,0.0,83,130,250,290,450,520,1000,2900,6500,6500,6500
GET,home,1081,0,11,24.351974015727546,4.868190999786748,916.0890279999876,18128.0,0.600997082776583,0.0,7,11,21,24,40,86,160,270,580,920,920
POST,login,731,0,560.0,797.5099010205201,174.2979219998233,13308.63225500002,412.0,0.40640968317269394,0.0,320,560,880,1100,1600,2200,3100,4200,13000,13000,13000
GET,navigate_to_client_login,732,0,10,20.426237448085327,4.7195790000387206,910.7606280001619,12241.0,0.4069656471715622,0.0,7,10,19,23,32,48,88,240,910,910,910
GET,pick_up_ticket,180,0,40,139.39615117778462,14.056107000214979,10695.268951000002,65.0,0.10007351979628579,0.0,25,40,92,110,180,270,350,1600,11000,11000,11000
PUT,pick_up_ticket,179,0,120.0,295.7465224245766,30.437164999966626,7470.567645000017,391.0,0.09951755579741754,0.0,61,120,280,320,530,910,2500,5300,7500,7500,7500
POST,set_new_contact,2189,0,86,220.34527561580447,12.61771300005421,17260.057017000006,287.48560986751943,1.217005193522609,0.0,37,86,190,220,420,670,1300,1800,17000,17000,17000
,Aggregated,9842,0,76,327.6671061723215,4.7195790000387206,33263.51633500001,5932.275045722414,5.471797676861359,0.0,21,76,300,420,760,1200,2000,2900,17000,33000,33000
