Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,book,276,2,38,261.7237928550741,6.416064999996252,16182.808214,9672.938405797102,0.4612570916254611,0.0033424426929381237,23,39,130,170,310,430,1100,8200,16000,16000,16000
POST,create_user,138,0,440.0,906.7435898188393,207.44783300000336,46600.967166999995,319.0,0.23062854581273054,0.0,380,450,610,640,810,1300,2600,6500,47000,47000,47000
GET,home,69,0,12,17.271425376807763,6.029624000007061,209.5604590000022,18128.0,0.11531427290636527,0.0,9,12,15,17,22,35,70,210,210,210,210
POST,login,69,0,430.0,527.3619612753649,266.65588999998135,2191.442675999994,412.0,0.11531427290636527,0.0,360,430,540,610,950,1100,2100,2200,2200,2200,2200
GET,navigate_to_client_login,69,0,11,14.641593188406604,6.242270999990751,69.27768400001355,12241.0,0.11531427290636527,0.0,10,11,15,18,23,30,62,69,69,69,69
POST,set_new_contact,202,2,120.0,356.25929360396253,26.435861000038585,14416.25566900001,287.53960396039605,0.3375867119867505,0.0033424426929381237,63,120,250,300,470,560,1400,5400,14000,14000,14000
,Aggregated,823,4,98,374.1442686998795,6.029624000007061,46600.967166999995,5948.63304981774,1.3754151681440379,0.006684885385876247,25,98,370,410,540,720,1400,4300,47000,47000,47000
