2022-05-09T22:32:56.699153331Z stdout F {"duration":19,"start_time":"2022-05-09T22:32:56.164Z","upstream_host":"10.96.119.129:12346","response_code_details":"via_upstream","upstream_cluster":"PassthroughCluster","request_id":"420402aa-ed60-9c0f-bc25-f7ef61c9c17a","downstream_local_address":"10.96.119.129:12346","upstream_service_time":"19","path":"/api/v1/travelservice/train_types/D1345","protocol":"HTTP/1.1","authority":"ts-preserve-service:14568","downstream_remote_address":"10.244.0.118:39152","x_forwarded_for":null,"response_flags":"-","user_agent":"python-requests/2.26.0","upstream_local_address":"10.244.0.118:46964","requested_server_name":null,"route_name":"allow_any","response_code":200,"bytes_sent":126,"upstream_transport_failure_reason":null,"bytes_received":0,"connection_termination_details":null,"method":"GET"}
2022-05-09T22:32:56.699159075Z stdout F {"duration":13,"upstream_transport_failure_reason":null,"authority":"ts-preserve-service:14568","downstream_remote_address":"10.244.0.118:37128","protocol":"HTTP/1.1","response_code":200,"upstream_host":"10.96.5.54:15679","response_flags":"-","path":"/api/v1/configservice/configs/DirectTicketAllocationProportion","bytes_received":0,"x_forwarded_for":null,"requested_server_name":null,"route_name":"allow_any","user_agent":"python-requests/2.26.0","downstream_local_address":"10.96.5.54:15679","start_time":"2022-05-09T22:32:56.184Z","response_code_details":"via_upstream","request_id":"420402aa-ed60-9c0f-bc25-f7ef61c9c17a","method":"GET","upstream_cluster":"PassthroughCluster","connection_termination_details":null,"upstream_local_address":"10.244.0.118:52328","bytes_sent":172,"upstream_service_time":"10"}
2022-05-09T22:32:56.699162185Z stdout F {"upstream_host":"10.244.0.118:18898","bytes_sent":74,"authority":"ts-preserve-service:14568","path":"/api/v1/seatservice/seats/left_tickets","response_code":200,"upstream_cluster":"inbound|18898||","connection_termination_details":null,"upstream_local_address":"127.0.0.6:35783","duration":1089,"downstream_local_address":"10.244.0.118:18898","response_flags":"-","user_agent":"python-requests/2.26.0","requested_server_name":null,"upstream_transport_failure_reason":null,"downstream_remote_address":"10.244.0.129:47906","response_code_details":"via_upstream","upstream_service_time":"1088","bytes_received":112,"request_id":"420402aa-ed60-9c0f-bc25-f7ef61c9c17a","start_time":"2022-05-09T22:32:55.110Z","protocol":"HTTP/1.1","method":"POST","route_name":"default","x_forwarded_for":null}
2022-05-09T22:32:56.699164945Z stdout F {"response_flags":"-","start_time":"2022-05-09T22:32:56.237Z","upstream_local_address":"10.244.0.118:46964","route_name":"allow_any","bytes_received":0,"upstream_cluster":"PassthroughCluster","requested_server_name":null,"bytes_sent":190,"method":"GET","downstream_remote_address":"10.244.0.118:39152","connection_termination_details":null,"path":"/api/v1/travelservice/routes/D1345","response_code_details":"via_upstream","upstream_host":"10.96.119.129:12346","x_forwarded_for":null,"response_code":200,"authority":"ts-preserve-service:14568","protocol":"HTTP/1.1","user_agent":"python-requests/2.26.0","upstream_service_time":"16","downstream_local_address":"10.96.119.129:12346","request_id":"420402aa-ed60-9c0f-bc25-f7ef61c9c17a","upstream_transport_failure_reason":null,"duration":16}
2022-05-09T22:32:56.69917575Z stdout F {"upstream_local_address":"10.244.0.118:32886","bytes_received":112,"downstream_remote_address":"10.244.0.118:41748","upstream_service_time":"376","path":"/api/v1/orderservice/order/tickets","duration":377,"response_code":200,"method":"POST","x_forwarded_for":null,"upstream_host":"10.96.154.248:12031","upstream_cluster":"PassthroughCluster","upstream_transport_failure_reason":null,"downstream_local_address":"10.96.154.248:12031","protocol":"HTTP/1.1","response_code_details":"via_upstream","requested_server_name":null,"user_agent":"python-requests/2.26.0","authority":"ts-preserve-service:14568","start_time":"2022-05-09T22:32:55.887Z","request_id":"c5ccf371-59d8-93f2-823c-122942036948","connection_termination_details":null,"response_flags":"-","route_name":"allow_any","bytes_sent":23877}
2022-05-09T22:32:56.69917903Z stdout F {"downstream_remote_address":"10.244.0.118:39152","requested_server_name":null,"upstream_local_address":"10.244.0.118:46964","protocol":"HTTP/1.1","bytes_sent":126,"upstream_transport_failure_reason":null,"request_id":"c5ccf371-59d8-93f2-823c-122942036948","route_name":"allow_any","authority":"ts-preserve-service:14568","bytes_received":0,"response_flags":"-","x_forwarded_for":null,"response_code_details":"via_upstream","method":"GET","upstream_cluster":"PassthroughCluster","path":"/api/v1/travelservice/train_types/D1345","connection_termination_details":null,"upstream_service_time":"18","duration":18,"user_agent":"python-requests/2.26.0","downstream_local_address":"10.96.119.129:12346","start_time":"2022-05-09T22:32:56.267Z","response_code":200,"upstream_host":"10.96.119.129:12346"}
2022-05-09T22:32:56.699181739Z stdout F {"x_forwarded_for":null,"duration":418,"bytes_sent":120,"downstream_local_address":"10.244.0.118:18898","response_code":200,"upstream_local_address":"127.0.0.6:47401","upstream_service_time":"417","connection_termination_details":null,"response_code_details":"via_upstream","route_name":"default","method":"POST","authority":"ts-preserve-service:14568","request_id":"c5ccf371-59d8-93f2-823c-122942036948","upstream_transport_failure_reason":null,"requested_server_name":null,"user_agent":"python-requests/2.26.0","bytes_received":112,"path":"/api/v1/seatservice/seats","response_flags":"-","upstream_cluster":"inbound|18898||","downstream_remote_address":"10.244.0.114:54764","upstream_host":"10.244.0.118:18898","protocol":"HTTP/1.1","start_time":"2022-05-09T22:32:55.869Z"}
2022-05-09T22:32:56.69918443Z stdout F {"protocol":"HTTP/1.1","path":"/api/v1/travelservice/routes/D1345","user_agent":"python-requests/2.26.0","upstream_transport_failure_reason":null,"bytes_sent":190,"response_code_details":"via_upstream","x_forwarded_for":null,"upstream_host":"10.96.119.129:12346","request_id":"87054f67-7adb-9dbb-994a-6f52d1a1192b","connection_termination_details":null,"authority":"ts-preserve-service:14568","upstream_cluster":"PassthroughCluster","downstream_remote_address":"10.244.0.118:39152","requested_server_name":null,"response_code":200,"start_time":"2022-05-09T22:32:56.404Z","downstream_local_address":"10.96.119.129:12346","response_flags":"-","upstream_service_time":"10","method":"GET","duration":11,"upstream_local_address":"10.244.0.118:46964","route_name":"allow_any","bytes_received":0}
2022-05-09T22:32:56.699187121Z stdout F {"path":"/api/v1/orderservice/order/tickets","response_flags":"-","downstream_local_address":"10.96.154.248:12031","request_id":"420402aa-ed60-9c0f-bc25-f7ef61c9c17a","duration":205,"upstream_host":"10.96.154.248:12031","response_code_details":"via_upstream","protocol":"HTTP/1.1","connection_termination_details":null,"method":"POST","upstream_cluster":"PassthroughCluster","downstream_remote_address":"10.244.0.118:40422","upstream_transport_failure_reason":null,"bytes_received":112,"requested_server_name":null,"response_code":200,"upstream_local_address":"10.244.0.118:40424","bytes_sent":23877,"x_forwarded_for":null,"start_time":"2022-05-09T22:32:56.255Z","authority":"ts-preserve-service:14568","upstream_service_time":"204","user_agent":"python-requests/2.26.0","route_name":"allow_any"}
2022-05-09T22:32:56.699194811Z stdout F {"protocol":"HTTP/1.1","connection_termination_details":null,"upstream_host":"10.96.119.129:12346","downstream_local_address":"10.96.119.129:12346","bytes_sent":126,"response_code":200,"x_forwarded_for":null,"upstream_service_time":"11","bytes_received":0,"duration":12,"start_time":"2022-05-09T22:32:56.462Z","downstream_remote_address":"10.244.0.118:39152","method":"GET","response_flags":"-","response_code_details":"via_upstream","path":"/api/v1/travelservice/train_types/D1345","requested_server_name":null,"upstream_transport_failure_reason":null,"authority":"ts-preserve-service:14568","upstream_cluster":"PassthroughCluster","upstream_local_address":"10.244.0.118:46964","route_name":"allow_any","request_id":"420402aa-ed60-9c0f-bc25-f7ef61c9c17a","user_agent":"python-requests/2.26.0"}
2022-05-09T22:32:56.699199809Z stdout F {"authority":"ts-preserve-service:14568","path":"/api/v1/configservice/configs/DirectTicketAllocationProportion","requested_server_name":null,"response_code_details":"via_upstream","protocol":"HTTP/1.1","upstream_local_address":"10.244.0.118:52328","duration":5,"x_forwarded_for":null,"response_flags":"-","upstream_transport_failure_reason":null,"upstream_host":"10.96.5.54:15679","method":"GET","downstream_remote_address":"10.244.0.118:37128","request_id":"420402aa-ed60-9c0f-bc25-f7ef61c9c17a","bytes_received":0,"connection_termination_details":null,"start_time":"2022-05-09T22:32:56.475Z","user_agent":"python-requests/2.26.0","bytes_sent":172,"route_name":"allow_any","downstream_local_address":"10.96.5.54:15679","upstream_cluster":"PassthroughCluster","upstream_service_time":"4","response_code":200}
2022-05-09T22:32:56.699202837Z stdout F {"upstream_transport_failure_reason":null,"bytes_sent":74,"downstream_remote_address":"10.244.0.129:47906","response_code_details":"via_upstream","upstream_host":"10.244.0.118:18898","path":"/api/v1/seatservice/seats/left_tickets","protocol":"HTTP/1.1","method":"POST","upstream_service_time":"247","x_forwarded_for":null,"bytes_received":112,"duration":247,"user_agent":"python-requests/2.26.0","upstream_local_address":"127.0.0.6:35783","requested_server_name":null,"authority":"ts-preserve-service:14568","start_time":"2022-05-09T22:32:56.235Z","request_id":"420402aa-ed60-9c0f-bc25-f7ef61c9c17a","connection_termination_details":null,"route_name":"default","response_code":200,"upstream_cluster":"inbound|18898||","response_flags":"-","downstream_local_address":"10.244.0.118:18898"}
