Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,book,3008,0,13,41.75315378091831,3.991674000076273,13880.911307000002,9674.75,1.6723451810356698,0.0,9,13,43,50,73,110,170,240,3400,14000,14000
POST,create_user,1506,0,190.0,224.78146149070724,80.67645799997081,18984.669241000003,319.0,0.8372845221541617,0.0,140,190,220,240,310,380,570,760,7500,19000,19000
GET,home,753,0,5,17.889658832668985,3.994314999999915,4865.289417000213,18128.0,0.41864226107708086,0.0,5,5,7,7,10,13,27,58,4900,4900,4900
POST,login,752,0,180.0,208.26127976994243,108.50128099991707,1459.8356230001173,412.0,0.41808629525891744,0.0,170,180,230,250,290,370,470,570,1500,1500,1500
GET,navigate_to_client_login,753,0,5,7.2417162523249825,3.572079000150552,260.99073699992914,12241.0,0.41864226107708086,0.0,5,5,7,7,9,12,24,37,260,260,260
POST,set_new_contact,1504,0,19,27.70480583178199,10.262532000069768,2864.1663260000314,176.5,0.8361725905178349,0.0,15,19,25,28,40,56,96,150,1000,2900,2900
,Aggregated,8276,0,18,82.32464999697974,3.572079000150552,18984.669241000003,6407.104760753988,4.601173111120746,0.0,9,18,130,160,200,260,350,460,2900,19000,19000
