Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,book,892,0,12,24.561516227577247,4.389813000045706,401.4979390000022,9674.75,1.49115311179316,0.0,9,12,44,47,57,68,98,120,400,400,400
POST,create_user,446,0,190.0,197.06848593273727,82.02630200003114,1027.670311999998,319.0,0.74557655589658,0.0,140,190,210,230,290,340,470,740,1000,1000,1000
POST,get_voucher_of_last_order,223,0,40,53.80301384304707,31.34948799998938,338.8369489999832,279.99103139013454,0.37278827794829,0.0,35,40,56,62,84,110,200,290,340,340,340
GET,home,223,0,5,7.56477008071835,4.077973999983442,109.29557799999756,18128.0,0.37278827794829,0.0,5,5,7,7,10,13,32,44,110,110,110
POST,login,223,0,180.0,204.6053697847505,113.89555099998461,1214.7830380000073,412.0,0.37278827794829,0.0,160,180,200,240,280,370,550,680,1200,1200,1200
GET,navigate_to_client_login,223,0,5,6.459444775785804,3.521755000065241,44.981690000000185,12241.0,0.37278827794829,0.0,5,5,7,7,9,12,21,26,45,45,45
POST,set_new_contact,669,0,25,37.53600318086698,10.655188999976417,303.6253850000037,287.49177877428997,1.1183648338448702,0.0,17,25,51,55,71,95,120,170,300,300,300
,Aggregated,2899,0,28,67.49412652328346,3.521755000065241,1214.7830380000073,5481.5743359779235,4.84624761332777,0.0,10,28,91,130,190,230,310,370,1000,1200,1200
