Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,book,5096,0,15,38.66249618954177,3.507832996547222,2211.2182150012814,9674.75,2.834086621814141,0.0,9,15,46,55,92,130,210,320,810,2200,2200
POST,create_user,2549,0,230.0,315.2363887890204,85.93739999923855,1876.3461509952322,319.00863083562183,1.4175994503540512,0.0,190,230,400,430,590,710,930,1200,1600,1900,1900
GET,home,1275,0,5,12.435998860974887,3.399304987397045,948.3869639807381,18128.0,0.709077794900516,0.0,5,5,7,9,13,24,58,150,860,950,950
POST,login,1274,0,230.0,306.98227896356923,115.47084100311622,2595.2183209592476,412.0,0.7085216554535353,0.0,180,230,380,430,570,670,850,920,1500,2600,2600
GET,navigate_to_client_login,1274,0,5,7.625254105375948,2.929095004219562,273.1707689817995,12241.0,0.7085216554535353,0.0,4,5,7,8,11,19,29,41,140,270,270
POST,set_new_contact,2548,0,21,32.17811599574209,9.4802450039424,1125.5665269563906,176.5,1.4170433109070706,0.0,16,21,31,35,52,80,130,210,910,1100,1100
,Aggregated,14016,0,22,106.96470967750055,2.929095004219562,2595.2183209592476,6406.858090753424,7.794850488882849,0.0,9,22,170,190,300,470,640,760,1300,2200,2600
