Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,book,792,0,13,30.428617008839765,4.3885860000045795,1014.1956690000029,9674.75,1.3236979290359685,0.0,9,13,45,48,70,95,150,210,1000,1000,1000
GET,cancel_last_order_with_no_refund,198,0,66,131.57729193434577,42.73014799997554,6371.054554,52.0,0.3309244822589921,0.0,48,68,110,130,190,230,600,1100,6400,6400,6400
POST,create_user,396,0,190.0,222.12187992676928,81.92852100000891,1364.8275299999996,319.0,0.6618489645179843,0.0,140,190,280,300,340,390,550,950,1400,1400,1400
GET,home,198,0,6,7.410260101007096,3.6607949999734046,60.15458299999921,18128.0,0.3309244822589921,0.0,5,6,8,8,11,15,27,32,60,60,60
POST,login,198,0,190.0,226.19994042929136,100.72704500004193,1368.1627630000007,412.0,0.3309244822589921,0.0,130,190,280,290,350,390,650,910,1400,1400,1400
GET,navigate_to_client_login,198,0,5,6.897942929293319,3.315088000022115,34.8854309999993,12241.0,0.3309244822589921,0.0,5,5,8,8,10,12,24,32,35,35,35
POST,set_new_contact,594,0,29,49.023511846801625,11.232034000045132,1987.8555429999096,287.5016835016835,0.9927734467769764,0.0,18,29,51,59,86,140,200,350,2000,2000,2000
,Aggregated,2574,0,32,83.47032298640316,3.315088000022115,6371.054554,5464.03885003885,4.302018269366898,0.0,11,32,110,140,210,300,370,450,1400,6400,6400
